_id,awards,cast,country,director,fullplot,genre,imdbID,imdbRating,imdbVotes,language,lastupdated,metacritic,plot,poster,rating,released,runtime,title,type,writer,year
61ada46a35f740fca5c3329a,,"Mrs. Auguste Lumiere, Andr�e Lumi�re, Auguste Lumi�re",France,Louis Lumi�re,"A baby is seated at a table between its cheerful parents, Auguste and Marguerite Lumi�re. While the father is feeding the baby with a spoon, the mother is pouring coffee into her cup. The father gives the baby a biscuit, which the baby grabs, but doesn't eat, although both parents encourage it. The father resumes feeding the baby with the spoon.","Documentary, Short",29,5.9,1669,,2015-08-12 00:06:40.657000000,,"A baby is seated at a table between its cheerful parents, Auguste and Marguerite Lumi�re. While the father is feeding the baby with a spoon, the mother is pouring coffee into her cup. The ...",,,1895-12-28,1 min,"Baby's Dinner",movie,,1895
61ada46a35f740fca5c332a4,,Harold Smith,UK,George Albert Smith,"A child borrows his grandmother's magnifying glass to look at a newspaper ad for Bovril, at a watch, and then at a bird. The child shows grandma what he is doing. The child looks next at grandma's eye, then at a kitten.",Short,304,6.1,555,,2015-08-29 00:23:05.170000000,,"A boy looks through glasses at various objects, seen magnified.",,,1900-11-01,2 min,"Grandma's Reading Glass",movie,,1900
61ada46a35f740fca5c33297,,,France,�mile Reynaud,"One night, Arlequin come to see his lover Colombine. But then Pierrot knocks at the door and Colombine and Arlequin hide. Pierrot starts singing but Arlequin scares him and the poor man goes away.","Animation, Comedy, Short",3,6.7,566,,2015-08-12 00:06:02.720000000,,"One night, Arlequin come to see his lover Colombine. But then Pierrot knocks at the door and Colombine and Arlequin hide. Pierrot starts singing but Arlequin scares him and the poor man goes away.",,,1892-10-28,4 min,Pauvre Pierrot,movie,,1892
61ada46a35f740fca5c3329e,,"Jeanne d'Alcy, Georges M�li�s",France,Georges M�li�s,"An elegantly dressed man enters through a stage door onto a set with decorated back screen, a chair and small table. He brings a well-dressed women through the door, spreads a newspaper on the floor, and places the chair on it. She sits and fans herself; he covers her with a diaphanous cloth. She disappears; he tries to conjure her back with incomplete results. Can he go beyond the bare bones of a conjuring trick and succeed in the complete reconstitution of a the lady?",Short,75,6.3,759,,2015-08-26 00:05:55.493000000,,A woman disappears on stage.,,,,1 min,The Conjuring of a Woman at the House of Robert Houdin,movie,,1896
61ada46a35f740fca5c332b6,1 win.,"Martin Fuller, Mrs. William Bechtel, Walter Edwin, Ethel Jewett",USA,Harold M. Shaw,"Thanks to the Fresh Air Fund, a slum child escapes his drunken mother for a day's outing in the country. Upon arriving, he and the other children are told a story about a mythical land of no pain. Rather then return to the slum at day's end, the lad seeks to journey to that beautiful land beyond the sunset.","Short, Drama, Fantasy",488,7.1,448,English,2015-08-29 00:27:45.437000000,,"A young boy, opressed by his mother, goes on an outing in the country with a social welfare group where he dares to dream of a land where the cares of his ordinary life fade.",https://m.media-amazon.com/images/M/MV5BMTMzMDcxMjgyNl5BMl5BanBnXkFtZTcwOTgxNjg4Mg@@._V1_SX300.jpg,UNRATED,1912-10-28,14 min,The Land Beyond the Sunset,movie,Dorothy G. Shore,1912
61ada46a35f740fca5c332bc,,Georges M�li�s,France,Georges M�li�s,Two travellers are tormented by Satan from inn to inn and eventuly experience a buggy ride through the heavens courtesy of the Devil before he takes one of them down to hell and roasts him on a spit.,"Short, Fantasy",567,6.8,424,,2015-08-29 00:29:42.217000000,,Two travellers are tormented by Satan from inn to inn and eventuly experience a buggy ride through the heavens courtesy of the Devil before he takes one of them down to hell and roasts him ...,https://m.media-amazon.com/images/M/MV5BOTc4NDU2NTA0N15BMl5BanBnXkFtZTgwNDQ1MzUwMzE@._V1_SX300.jpg,,1972-07-01,17 min,The 400 Tricks of the Devil,movie,,1906
61ada46a35f740fca5c332c7,,"Charles West, Charles Arling, Owen Moore",USA,D.W. Griffith,"During the Civil War, a father living in a border state leaves to join the Union Army. After he leaves, Confederate troops forage on his property, where a soldier encounters one of his daughters. The father himself is wounded on a hazardous mission and must run for his life, pursued by Confederate soldiers.","Short, Drama, War",1265,6.5,331,English,2015-08-29 00:49:10.577000000,,"During the Civil War, a father living in a border state leaves to join the Union Army. After he leaves, Confederate troops forage on his property, where a soldier encounters one of his ...",,NOT RATED,1910-06-13,17 min,In the Border States,movie,,1910
61ada46a35f740fca5c332cb,,"John Bunny, Flora Finch, Helene Costello, Kate Price",USA,Laurence Trimble,"A widower has been bringing up his young daughter with the help of a nurse. The widower's sister, though, considers the child to be spoiled and undisciplined, so she insists on hiring a strict governess for the girl. When the governess arrives, both the daughter and the nurse dislike her, but the father is captivated by the governess's long, wavy, chestnut-colored hair. When the father asks the governess to marry him, the nurse and the daughter realize that they have to act quickly.","Comedy, Short",1660,5.7,135,English,2015-08-29 01:00:19.313000000,,"A widower becomes infatuated with his daughter's governess, to the displeasure of the child and her nurse.",,UNRATED,1911-09-12,14 min,Her Crowning Glory,movie,,1911
61ada46a35f740fca5c332cf,,"Mary Pickford, Edwin August, Alfred Paget, Mae Marsh",USA,D.W. Griffith,"A young, and fickle girl ( Mary Pickford ) dumps her admiring boyfriend ( Edwin August ) because she views him as a coward. Meanwhile a ruthless convict ( Alfred Paget ) has escaped and takes the girl as his hostage. After a harrowing automobile and train chase, the ex-boyfriend rescues the girl and he immediately becomes her hero, which she seals with a kiss.","Short, Drama",2054,5.6,75,English,2015-08-26 00:14:37.993000000,,"A young, and fickle girl ( Mary Pickford ) dumps her admiring boyfriend ( Edwin August ) because she views him as a coward. Meanwhile a ruthless convict ( Alfred Paget ) has escaped and ...",,,1912-05-27,17 min,A Beast at Bay,movie,George Hennessy,1912
61ada46a35f740fca5c332f0,,"Blanche Sweet, Henry B. Walthall, Mae Marsh, Robert Harron",USA,D.W. Griffith,"A fascinating work of high artistry, ""Judith of Bethulia"" will not only rank as an achievement in this country, but will make foreign producers sit up and take notice. It has a signal and imperative message, and the technique displayed throughout an infinity of detail, embracing even the delicate film tinting and toning, marks an encouraging step in the development of the new art. Ancient in story and settings, it is modern in penetrative interpretation - it is a vivid history of one phase of the time it concerns, and is redemptive as well as relative, a lesson from one of those vital struggles that made and unmade nations as well as individuals, yet it is not without that inspiring influence that appeals powerfully to human sense of justice. The entire vigorous action of the play works up to the personal sacrifice of Judith of Bethulia, a perilous chance she takes for the sake of the lives and happiness of her people. She dares expose herself to overwhelming humiliation and dishonor in a challenge of beauty to strength, struggles through a conversion of sentiment that makes the high crisis more acute, and sets at defiance the ""better-death-than-dishonor"" platitude, escaping both through that all-conquering combination in a woman, great physical beauty joined to lofty intelligence. She enters upon a relation of constant peril - only delicate treatment saves the situation at times - abandons her native purity of conduct and dares her own undoing, yet the noble end justified the dangerous means, and she emerges idealized by her people, an apotheosis of splendid womanhood. Bethulia is a fortified town of Judea, guarding a hill pass through which an invading Assyrian army must march in order to enter Judea. In the town lives Judith, a devout young woman of lofty character and remarkable beauty, when the place is stormed by Holofernes at the head of a large army. The fighting before the gate brings into action an enormous number of soldiers on both sides, and those engines of war, such as the battering ram and catapult, which were used by the fighting male of other days under close condition of furious combat. One desperate assault after another is repelled, scaling ladders are thrown down, great rocks are showered upon the invaders, and the wonder is that they keep at it. The reason is that Holofernes has a way of torturing and killing unsuccessful captains. As officer had better die in the thick of battle than return with a confession of defeat. Holofernes is as merciless as nature to all who fail. The great leader's brutality of his captains when they do not succeed in carrying the fortress by storm indicates what the inhabitants of Bethulia may expect in the event of capture and serves to intensify the clash of character later on - it adds peril to the undertaking of Judith when she resolves to sacrifice herself for her people. Holofernes, after making a horrible example of defeated captains by frightful torture, resorts to strategy. His soldiers have seized the wells from which the inhabitants of Bethulia obtained their water supply, and their leader adopts waiting tactics, diverting himself with dancing girls to break the tedium. Bethulia is on the verge of famine, and the besieged are almost ready to surrender the fortress and all Judea to the spoilers, when Judith goes forth in her finest raiment, accompanied only by her maid, enters the Assryian camp and obtains an interview with the merciless Holofernes. Against his formidable strength, his brutal ferocity and cunning, his absolute power, are matched her fascinating personality directed by intelligence and hidden purpose. She is willing to carry ""her fault on her shoulders like a coronation mantle."" The dangerous and difficult situation from this point to Judith's terrible triumph and the defeat of the invading Assyrians is pictured without loss of force or charm by extreme delicacy of treatment. Beauty is constantly asserted by almost reckless prodigality in the matter of costume, and by the appeal of delightful acting. The feminine sweetness and shyness of the lovely Judith are intensified by her advances and retreats in measuring her sex attractions against his formidable power. She is weakened at the critical moment by a sudden flame of passion and compassion aroused in her breast, but self-control returns at a thought of all that is at stake, the safety and happiness of thousands of her people, and she dares be all and do all that revolts her finer nature from a deep hatred of injustice and wrong meted out to her peace-loving kindred and friends, from a noble desire to preserve her country and the destinies of her race.",Drama,4181,7.7,897,English,2015-09-17 04:49:55.737000000,,"A religious woman seeks to save her people from destruction by seducing and murdering the enemy leader, but her plans get complicated once she falls for him.","https://m.media-amazon.com/images/M/MV5BMjA3NjgzMjY1N15BMl5BanBnXkFtZTcwNjAzMjM5OA@@._V1._CR221.88333129882812,0.5333404541015625,1055,1410.0999603271484_SY132_CR5,0,89,132_AL_.jpg_V1_SX300.jpg",,1914-03-08,61 min,Judith of Bethulia,movie,"Thomas Bailey Aldrich (poem), D.W. Griffith, Grace Pierce, Frank E. Woods",1914
